feature,importance
Downside_Vol,0.28985405
WeekOfYear_cos,0.1452287
Volatility_Lag_30,0.12337812
Close_Kalman,0.10084925
Close_VWAP_Dist,0.08934612
Volatility,0.08183575
Close_Kalman_Diff,0.05030635
Donchian_Width,0.026022455
ATR_Lag_30,0.015791124
SMA_50_Slope,0.010198141
Close_Lag_60,0.0075956937
Volatility_Lag_21,0.0045102444
ATR,0.00357116
ATR_Lag_21,0.0033504523
KC_Width,0.0028061634
MACD_Lag_10,0.0026119847
Volatility_Lag_7,0.0022702443
MACD_Lag_14,0.002168012
TRIX,0.0021187714
RSI_Lag_14,0.00196776
Upside_Vol,0.0019523938
MACD,0.0018960979
SMA_100,0.0017190627
SMA_200,0.0016682242
SMA_100_Slope,0.0016478446
BB_Lower,0.0014820716
MACD_Lag_30,0.0014026441
Volatility_30,0.001358446
SMA_30_Slope,0.0013453858
ATR_Lag_60,0.0012879602
Volatility_Lag_60,0.0012330648
Kalman_Trend,0.0012019216
RSI_Lag_10,0.0011578538
Aroon_Ind,0.0010282036
Close_Lag_30,0.0009249583
Parkinson_Vol,0.00089456973
GARCH_Proxy,0.00082020205
Volatility_Skew,0.00080090394
RSI,0.0007812674
Close_SMA_100_Ratio,0.00073382905
Close_EMA_200_Ratio,0.00071290083
Volume_EMA_20,0.00068644935
OBV,0.00066873635
RSI_Lag_60,0.0006495173
SMA_20_Slope,0.00063644093
RSI_Lag_30,0.00058479334
Volatility_Lag_14,0.00053783454
Volatility_Lag_5,0.0005287251
Month_cos,0.00045779027
Cumulative_Returns,0.000424943
Volume_SMA_20,0.00041922097
Close_Lag_21,0.00041508768
TRIX_Signal,0.0003817554
Month,0.0003351042
RSI_SMA,0.0002766914
MACD_Signal,0.00025771483
MACD_Lag_21,0.0002443708
SMA_200_Slope,0.00023468546
Volatility_Lag_10,0.00022786619
WeekOfYear_sin,0.00020202568
