feature,importance
Upside_Vol,0.2513706
MACD,0.22860315
WeekOfYear_cos,0.15808544
Month_sin,0.05687991
Close_Kalman,0.052441563
VWAP,0.039689273
WeekOfYear_sin,0.037614893
RSI_Lag_14,0.03144927
Volatility_Lag_10,0.024038171
Aroon_Ind,0.020131238
MACD_Lag_10,0.017626943
Close_SMA_200_Ratio,0.013071278
RSI_SMA,0.009600812
MACD_Lag_14,0.00788568
TRIX,0.0066789947
RSI_Lag_7,0.005517987
Close_Kalman_Diff,0.0052770684
Close_Lag_60,0.005027738
SMA_200_Slope,0.0048736837
OBV,0.0036569396
Cumulative_Returns,0.00265103
ATR_Lag_21,0.002248386
ATR,0.0015952326
Volatility_Lag_30,0.0013050078
RSI_Lag_5,0.0012184201
Volatility_Lag_14,0.0010994634
Close_SMA_100_Ratio,0.00094812975
ATR_Lag_30,0.00084810785
Volatility_Lag_5,0.00080475415
ATR_Lag_60,0.0006446082
SMA_50_Slope,0.00060015253
Volatility_Lag_7,0.0005919823
MACD_Lag_60,0.0005737402
MACD_Lag_21,0.00055591844
RSI_Lag_30,0.0005540684
BB_Width,0.00055196305
Volatility,0.0005496289
Volatility_Skew,0.00054780307
Volatility_Lag_21,0.00053303345
RSI,0.0005250681
MACD_Signal,0.0005226662
Donchian_Width,0.00052241795
RSI_Lag_60,0.0004879031
Volume_SMA_20,0.0
Volatility_30,0.0
SMA_100_Slope,0.0
Kalman_Trend,0.0
Downside_Vol,0.0
Month,0.0
MACD_Lag_30,0.0
RSI_Lag_21,0.0
Volatility_Lag_60,0.0
Parkinson_Vol,0.0
TRIX_Signal,0.0
KC_Width,0.0
GARCH_Proxy,0.0
RSI_Lag_10,0.0
Volatility_Kurt,0.0
Month_cos,0.0
Quarter,0.0
