feature,importance
EMA_50,0.7274053
SMA_50,0.14830564
Cumulative_Returns,0.06392094
EMA_12,0.014586356
SMA_14,0.011023539
SMA_7,0.008907457
Close_Lag_3,0.0065339226
Close_Lag_1,0.0064673363
BB_Lower,0.0028755271
BB_Upper,0.0022231983
Month,0.0010428823
SMA_30,0.0009256919
EMA_26,0.00073907385
Month_cos,0.00064241845
Close_Lag_7,0.00044944027
RSI_Lag_1,0.00028210305
BB_Width,0.0002649548
Close_SMA_50_Ratio,0.00020608856
RSI,0.0001785078
MACD,0.00017112974
OBV,0.00016555173
BB_Middle,0.00013404821
MACD_Signal,0.00013055175
Volume_SMA_20,0.00012633656
RSI_Lag_14,0.0001261601
Close_Lag_14,0.0001166711
DayOfWeek,0.00011635117
Month_sin,0.0001050108
RSI_Lag_7,0.00010126223
Close_SMA_7_Ratio,9.658098e-05
BB_Position,8.732291e-05
Volume_Lag_14,8.1611746e-05
Stoch_D,8.102873e-05
DayOfWeek_cos,7.888949e-05
Momentum,7.7866716e-05
Volume_Ratio,7.481546e-05
Quarter,7.0872375e-05
Stoch_K,7.0312395e-05
Volume_Lag_3,6.8696165e-05
Close_SMA_14_Ratio,6.790837e-05
ATR,6.571973e-05
Returns_Lag_1,6.530669e-05
RSI_Lag_3,6.193953e-05
Volume_Lag_7,5.9239865e-05
Returns_Lag_14,5.7162168e-05
Volume_Change,5.3594198e-05
MACD_Hist,5.2324292e-05
High_Low_Pct,5.0056733e-05
Returns_Lag_3,5.0050265e-05
Returns_Lag_7,4.6508732e-05
Volume_Lag_1,4.5479093e-05
Volatility,4.4881435e-05
ROC,4.3139957e-05
Close_SMA_30_Ratio,4.246082e-05
Price_Change,3.4630062e-05
DayOfWeek_sin,2.9133118e-05
Price_Range,2.7854845e-05
Returns,2.350016e-05
Log_Returns,1.7643943e-05
Sentiment_Compound,0.0
Sentiment_Pos,0.0
Sentiment_Neg,0.0
Sentiment_Count,0.0
Sentiment_MA7,0.0
Sentiment_Diff,0.0
