feature,importance
Volatility_Lag_30,0.1924892
Close_VWAP_Dist,0.13987327
MACD_Lag_14,0.10576522
Volatility_30,0.09343479
Volatility_Lag_7,0.09056445
OBV,0.077234924
MACD_Lag_30,0.0538779
Month_sin,0.043791298
RSI,0.02430788
Upside_Vol,0.017213788
MACD,0.014027348
RSI_Lag_7,0.012710929
RSI_Lag_5,0.012080757
Close_SMA_100_Ratio,0.010889975
ATR_Lag_30,0.009100107
Parkinson_Vol,0.008182791
SMA_20_Slope,0.006710608
Cumulative_Returns,0.00669846
Close_SMA_50_Ratio,0.0066672266
Volatility_Lag_10,0.0059378208
RSI_Lag_30,0.005398797
Close_Kalman_Diff,0.0053668204
Close_SMA_200_Ratio,0.0047270623
ATR_Lag_21,0.003535967
GARCH_Proxy,0.0035165278
Price_Momentum_20,0.0033991765
Volatility_Lag_21,0.0033102466
ATR,0.0030347232
RSI_Lag_21,0.0028557936
Close_Lag_60,0.0028134445
RSI_SMA,0.0027028178
Close_Kalman,0.0026678408
Volatility_Cluster,0.0024807323
Kalman_Trend,0.002472584
RSI_Lag_10,0.0016401353
Downside_Vol,0.0016177712
SMA_30_Slope,0.0015294881
MACD_Lag_10,0.0014600971
ATR_Lag_60,0.0012726486
Donchian_Width,0.0012503271
RSI_Lag_14,0.0011639165
Month,0.001101169
Volatility_Lag_60,0.0010507422
Vol_Of_Vol,0.0009920713
SMA_50_Slope,0.000920892
SMA_200_Slope,0.00083410554
SMA_100_Slope,0.0007977402
MACD_Signal,0.0007951565
MACD_Lag_21,0.00079436
Volatility,0.0007614101
Volatility_Lag_14,0.0005569127
Volatility_Kurt,0.00054352265
MACD_Lag_60,0.00053976564
TRIX,0.0005364727
RSI_Lag_60,0.0
Aroon_Ind,0.0
Month_cos,0.0
KC_Width,0.0
Volatility_10,0.0
Volume_Std,0.0
