feature,importance
GARCH_Proxy,0.29068908
Close_SMA_100_Ratio,0.15333326
Volatility_Lag_14,0.13729809
SMA_100_Slope,0.13371816
SMA_200_Slope,0.124428175
SMA_50_Slope,0.11624063
Volatility_Lag_21,0.009147481
Close_Kalman,0.0061318893
RSI_Lag_5,0.004193031
Parkinson_Vol,0.0032923091
RSI,0.0025620854
ATR_Lag_60,0.0015568527
KC_Width,0.0013369336
Volatility_Lag_30,0.0010359231
Cumulative_Returns,0.0010106866
Month_cos,0.0009810781
ATR,0.00092785165
Donchian_Width,0.00077553396
Volume_EMA_20,0.00068137463
RSI_Lag_14,0.0005949752
Downside_Vol,0.0004508842
Close_VWAP_Dist,0.00044805586
MACD_Signal,0.00042677013
TRIX,0.00041406474
Aroon_Ind,0.00040187433
Volatility_Kurt,0.00039905444
RSI_Lag_21,0.00039063333
SMA_30_Slope,0.0003780712
ATR_Lag_21,0.0003756177
MACD,0.00037114177
Close_Lag_60,0.00034337904
MACD_Hist,0.00032035628
Close_SMA_200_Ratio,0.00031379407
RSI_Lag_7,0.00030312844
Volatility_Lag_60,0.0002702061
OBV,0.00024677813
MACD_Lag_60,0.00023988786
Month,0.0002360237
WeekOfYear_cos,0.00022703965
RSI_Lag_60,0.00022608397
Volatility_Lag_7,0.00021877492
Kalman_Trend,0.00019808154
Volatility_Lag_5,0.00019019342
Price_Momentum_20,0.00018768085
RSI_SMA,0.00018608129
Close_Kalman_Diff,0.00018096903
MACD_Lag_14,0.0001803278
Close_SMA_50_Ratio,0.00017917065
Volatility,0.000173649
MACD_Lag_21,0.00017225317
Upside_Vol,0.00016780528
Volume_SMA_20,0.00015593033
Volatility_Skew,0.00015090457
WeekOfYear_sin,0.00014560645
Volatility_30,0.00014263565
TRIX_Signal,0.00013990416
ATR_Lag_30,0.00013697476
MACD_Lag_10,0.0001327314
BB_Width,0.00012405189
Volatility_Lag_10,0.00011808261
